8823,HOLIDAY,Na･de･Na･deボーイ,P,SUGINAMI MELODY,Y,あじさい通り,ありふれた人生,あわ,いろは,うめぼし,おっぱい,けもの道,さらばユニヴァース,さわって・変わって,ただ春を待つ,たまご,つぐみ,ほうき星,みそか,アカネ,アパート,インディゴ地平線,ウィリー,ウサギのバイク,エスカルゴ,エトランゼ,ガーベラ,クリスピー,グラスホッパー,コスモス,シャララ,ジュテーム？,スーパーノヴァ,スカーレット,スターゲイザー,スパイダー,スピカ,センチメンタル,チェリー,テイタム・オニール,テクテク,テレビ,トゲトゲの木,トビウオ,トンガリ’95,ナナへの気持ち,ナンプラー日和,ニノウデの世界,ネズミの進化,ハートが帰らない,ハイファイ・ローファイ,ハチミツ,ハネモノ,ハヤテ,バニーガール,ババロア,ヒバリのこころ,ビー玉,フェイクファー,プール,ヘチマの花,ベビーフェイス,マーメイド,マフラーマン,ミカンズのテーマ,ムーンライト,メモリーズ,ルキンフォー,ルナルナ,ローテク・ロマンティカ,ロビンソン,ワタリ,愛のことば,稲穂,運命の人,俺のすべて,俺の赤い星,夏が終わる,夏の魔物,花泥棒,会いに行くよ,海とピンク,海ねこ,海を見に行こう,甘い手,甘ったれクリーチャー,魚,胸に咲いた黄色い花,空も飛べるはず,君が思い出になる前に,君と暮らせたら,群青,今,砂漠の花,三日月ロック その３,自転車,謝々！,若葉,春の歌,春夏ロケット,初恋クレイジー,渚,心の底から,正夢,青い車,青春生き残りゲーム,船乗り,孫悟空,大宮サンセット,仲良し,鳥になって,点と点,田舎の生活,桃,日なたの窓に憧れて,猫になりたい,不思議,不死身のビーナス,楓,歩き出せ、クローバー,放浪カモメはどこまでも,僕のギター,僕の天使マリ,僕はジェット,魔女旅に出る,魔法のコトバ,夢じゃない,夢追い虫,名前をつけてやる,迷子の兵隊,夜を駆ける,野生のチューリップ,優しくなりたいな,夕焼け,夕陽が笑う、君も笑う,遥か,裸のままで,流れ星,旅の途中,旅人,涙がキラリ☆,冷たい頬,恋のうた,恋のはじまり,恋は夕暮れ,漣,惑星のかけら,1-2 Love Forever,Sakura,,3月9日,もっと遠くへ,アカシア,シフト,スタンドバイミー,モラトリアム,茜空,雨上がり,蛍,紙ふぶき,電話,南風,粉雪,夢の蕾,流星,#2601,365日,All by myself,Another Mind,Another Story,Any,CANDY,CROSS ROAD,Drawing,Everything (It’s you),GIFT,HANABI,HERO,I’LL BE,Image,It’s a wonderful world,Love is Blindness,Mirror,NOT FOUND,PADDLE,Pink～奇妙な夢,Prism,Replay,Round About～孤独の肖像～,SUNRISE,Sign,So Let’s Get Truth,Surrender,Tomorrow never knows,UFO,Wake me up!,and I love you,everybody goes～秩序のない現代にドロップキック～,my confidence song,youthful days,【es】～Theme of es～,ありふれた Love Story～男女問題はいつも面倒だ～,あんまり覚えてないや,かぞえうた,くるみ,こんな風にひどく蒸し暑い日,しるし,その向こうへ行こう,ためいきの日曜日,つよがり,また会えるかな,もっと,innocent world,エソラ,シーソーゲーム～勇敢な恋の歌～,ジェラシー,スロースターター,タガタメ,ニシエヒガシエ,フェイク,ポケット カスタネット,メインストリートに行こう,ヨーイドン,ランニングハイ,ロード・アイ・ミス・ユー,ロードムービー,ロックンロールは生きている,雨のち晴れ,花 -Mémento-Mori-,花の匂い,花言葉,隔たり,祈り ～涙の軌道,空風の帰り道,君がいた夏,君が好き,君の事以外は何も考えられない,血の管,言わせてみてぇもんだ,口がすべって,口笛,彩り,思春期の夏～君との恋が今も牧場に～,車の中でかくれてキスをしよう,終わりなき旅,終末のコンフィデンスソング,十二月のセントラルパークブルース,少年,掌,深海,水上バス,声,跳べ,通り雨,天頂バス,東京,逃亡者,独り言,虹の彼方へ,風～The wind knows how I feel～,風と星とメビウスの輪,抱きしめたい,僕らの音,未来,名もなき詩,妄想満月,優しい歌,羊、吠える,旅人,旅立ちの唄,虜,箒星,蜃気楼,AM11:00,DADA
紙ふぶき, 60288, 2469, 22340, 5548, 123, 797, 858, 4361, 3354, 192, 17309, 19990, 33941, 624, 9670, 4622, 34158, 2364, 294, 16380, 27508, 28640, 459, 3498, 26367, 15537, 10589, 74134, 5726, 21355, 6656, 66126, 57476, 3804, 8609, 8185, 18083, 9322, 918, 51110, 5955, 31901, 39505, 25817, 20603, 23779, 3703, 557, 2616, 27200, 264, 39646, 40125, 12656, 1824, 17163, 1506, 43213, 25874, 29697, 5213, 530, 2572, 12062, 545, 1331, 242, 222, 2252, 1265, 378, 2186, 391, 8617, 19543, 8798, 20345, 2843, 750, 29792, 588, 16539, 2014, 683, 10133, 6925, 1826, 18920, 6881, 23345, 1526, 35495, 4563, 3354, 2179, 27362, 51967, 16244, 5982, 36236, 7411, 15287, 22194, 18783, 44026, 2759, 138, 1883, 1039, 14458, 20574, 31043, 45049, 28832, 8604, 295, 9327, 15768, 30990, 54853, 4867, 27936, 4772, 15292, 27515, 10686, 4566, 9104, 818, 9528, 244, 40026, 65849, 11696, 9966, 5163, 1826, 9824, 573, 432, 16856, 6692, 5186, 7848, 1850, 15369, 17226, 5154, 7564, 1406, 672, 41070, 2194, 197, 23564, 154, 10079, 354, 1758, 305, 0, 155, 475, 2196, 442, 258, 2406, 467, 96, 7890, 195, 507, 480, 469, 529, 3127, 293, 672, 321, 742, 144, 530, 2478, 5990, 794, 2251, 4206, 28702, 438, 3834, 10075, 398, 37669, 77390, 268, 424, 425, 210, 94, 5706, 3893, 399, 442, 256, 189, 269, 192, 539, 588, 672, 595, 21931, 552, 638, 171, 1030, 2989, 3136, 187, 742, 846, 161, 7441, 1443, 219, 852, 12301, 79751, 4122, 6473, 706, 498, 1510, 125, 2061, 447, 346, 11459, 174, 903, 793, 355, 132, 455, 22915, 627, 98, 102, 304, 985, 1454, 296, 1080, 8824, 3804, 332, 607, 45058, 6132, 2497, 7091, 214, 355, 571, 590, 751, 963, 1229, 209, 4198, 84, 272, 219, 4030, 28557, 41194 
電話, 58839, 2206, 21617, 5005, 220, 1002, 623, 3778, 2961, 425, 16132, 19155, 32920, 649, 9309, 4031, 33125, 2143, 527, 15841, 27103, 27715, 508, 3281, 24520, 14684, 10340, 71439, 5291, 20338, 5995, 63649, 55117, 3607, 7796, 7684, 16952, 8657, 903, 49857, 5580, 30032, 37968, 24240, 19784, 23282, 3200, 642, 2341, 25747, 441, 38303, 39642, 11915, 1427, 16448, 1423, 41084, 23583, 28620, 4752, 679, 2183, 11359, 592, 1024, 405, 455, 1935, 1098, 581, 1767, 484, 7960, 18604, 7981, 19050, 2700, 905, 28385, 685, 15558, 1277, 300, 9530, 6332, 1807, 18363, 6052, 21848, 1405, 34422, 4262, 2737, 1968, 25445, 49936, 15825, 5385, 34879, 7224, 13728, 20767, 18004, 42273, 2464, 251, 1874, 1082, 13407, 19103, 29572, 43358, 27103, 7999, 324, 8732, 14949, 30227, 52286, 4532, 26037, 4595, 14045, 26394, 9657, 3899, 7769, 715, 8853, 427, 38737, 63582, 11239, 9233, 4722, 1437, 8813, 538, 665, 15671, 5769, 4605, 7473, 1707, 14752, 16525, 4783, 7005, 1255, 905, 39783, 1973, 296, 22633, 255, 9310, 419, 1959, 324, 155, 0, 606, 2005, 441, 295, 2639, 548, 305, 7549, 272, 732, 613, 548, 712, 2764, 250, 905, 390, 975, 377, 685, 2359, 5585, 1015, 1922, 3763, 27427, 305, 3659, 9484, 361, 36396, 75023, 335, 493, 558, 239, 243, 5027, 3596, 594, 477, 489, 272, 428, 425, 684, 749, 905, 548, 20672, 761, 551, 260, 773, 2616, 3369, 344, 975, 743, 212, 6772, 1296, 460, 641, 11912, 77094, 3399, 6120, 895, 489, 1439, 132, 1868, 624, 503, 11020, 353, 764, 552, 528, 303, 540, 21592, 830, 235, 335, 433, 504, 1583, 457, 627, 8593, 3259, 491, 566, 43411, 5993, 2182, 6626, 291, 284, 772, 775, 588, 816, 1152, 338, 4103, 269, 431, 388, 3725, 27232, 39321 
南風, 66949, 3232, 27645, 8073, 666, 108, 1475, 6474, 5351, 1027, 21074, 24149, 39222, 1541, 12815, 6437, 38893, 4021, 1303, 19915, 33939, 33547, 1094, 5081, 30422, 18672, 14702, 81703, 8547, 25722, 8525, 72415, 62573, 5341, 11278, 10826, 21838, 12365, 1691, 58297, 8066, 36636, 45904, 29822, 25644, 29492, 4670, 108, 3765, 31523, 149, 44695, 47846, 15609, 3343, 20876, 2219, 47728, 29975, 34304, 6504, 247, 3619, 15293, 1288, 1956, 205, 1115, 3707, 1704, 77, 2957, 246, 10576, 23744, 11123, 23652, 4992, 115, 34853, 367, 19662, 3323, 954, 12602, 10542, 3541, 23587, 8744, 27488, 2853, 39970, 6542, 4803, 3192, 31419, 57558, 20877, 8039, 40679, 10506, 18068, 25493, 23208, 50279, 4006, 665, 3646, 2494, 17187, 24267, 35484, 51210, 32967, 11435, 276, 12564, 18791, 36883, 59942, 7126, 31999, 7325, 18001, 32732, 13121, 6011, 11963, 811, 12393, 133, 45709, 71030, 14269, 14045, 6892, 2635, 11837, 1270, 1615, 19409, 8889, 6969, 10933, 3167, 19098, 21813, 7413, 8655, 2477, 115, 46585, 2917, 196, 27383, 175, 12540, 25, 3923, 534, 475, 606, 0, 3639, 1019, 615, 4807, 46, 325, 11191, 130, 96, 11, 62, 70, 5202, 996, 115, 92, 127, 283, 215, 2627, 8703, 127, 4030, 5683, 33427, 1033, 6255, 13028, 99, 42142, 84827, 199, 349, 222, 541, 285, 7743, 5914, 70, 969, 163, 1006, 134, 215, 50, 127, 115, 828, 25342, 85, 1533, 238, 1867, 4216, 5827, 184, 127, 1341, 1094, 9368, 2256, 212, 1581, 16880, 86522, 5311, 8838, 77, 661, 2875, 590, 3420, 60, 19, 15248, 253, 1482, 1262, 40, 239, 42, 26316, 74, 371, 647, 107, 1288, 3431, 105, 2239, 12255, 5701, 137, 1378, 48995, 9221, 3680, 8722, 99, 486, 76, 99, 1262, 1066, 2530, 128, 6539, 635, 135, 156, 5489, 32826, 45959 
粉雪, 41914, 1125, 12592, 1454, 1897, 4767, 1256, 1929, 500, 2570, 8741, 10644, 20247, 1532, 4914, 1064, 19736, 928, 2468, 9886, 17990, 17312, 1139, 1530, 15265, 7015, 4783, 52734, 1592, 11735, 2184, 46520, 39556, 2212, 3397, 2121, 8919, 3308, 1588, 34036, 1685, 19255, 25243, 14777, 10967, 14537, 1185, 3447, 1196, 14770, 3260, 24076, 28081, 6042, 1418, 7981, 724, 28375, 15232, 16343, 2055, 3652, 532, 5580, 975, 807, 3022, 2532, 144, 1347, 3840, 958, 2435, 3167, 10323, 3160, 10527, 1629, 4724, 16692, 3000, 7893, 1128, 1761, 3469, 3979, 1334, 10394, 2247, 13079, 862, 20901, 1473, 1608, 1207, 15778, 35125, 9176, 1384, 21864, 4165, 7163, 11996, 10329, 28266, 985, 1832, 1317, 1279, 6772, 11172, 18139, 29293, 17006, 3868, 2439, 3483, 8240, 18912, 37711, 825, 16578, 1840, 7326, 15935, 4346, 1082, 3992, 1906, 3912, 3318, 26016, 47371, 5730, 5066, 1881, 652, 4160, 827, 2402, 8650, 2066, 1172, 3096, 364, 8267, 8484, 2112, 3634, 522, 4682, 25298, 914, 2571, 11932, 2528, 3541, 3190, 1972, 1957, 2196, 2005, 3639, 0, 1316, 1872, 2948, 3231, 3050, 2474, 2643, 4289, 3662, 3217, 4097, 1009, 1367, 4682, 2705, 4820, 3338, 3730, 2732, 2058, 4852, 743, 1262, 16992, 1764, 728, 3851, 3116, 22695, 56064, 2476, 2208, 3225, 1816, 2668, 1708, 383, 3831, 1598, 3722, 1463, 3301, 3522, 3873, 4028, 4682, 1557, 11255, 4304, 800, 2337, 674, 303, 3338, 3067, 4820, 1252, 1799, 2149, 1325, 3629, 876, 6807, 58317, 1344, 2679, 4516, 1930, 1132, 1701, 599, 3865, 3514, 4773, 3074, 1047, 1213, 3593, 2812, 3183, 12363, 4425, 2440, 2820, 3722, 1707, 1780, 3540, 1450, 4676, 970, 3340, 879, 30216, 3084, 687, 3099, 2788, 1815, 4317, 4100, 869, 1479, 655, 2695, 2096, 2490, 3224, 3077, 1046, 15763, 26470 
夢の蕾, 53326, 1463, 19096, 3870, 357, 1631, 482, 3035, 2094, 802, 14069, 16610, 29279, 416, 7520, 3106, 29274, 1438, 874, 13374, 24550, 24332, 211, 2210, 22237, 12527, 8405, 67366, 4214, 17565, 4686, 59456, 51260, 2586, 6533, 5931, 14731, 6944, 574, 45054, 3877, 27405, 35135, 21963, 17319, 20725, 2481, 1151, 1452, 22954, 780, 33842, 36337, 9744, 1414, 13651, 682, 38143, 22274, 25253, 3473, 906, 1324, 9438, 331, 691, 634, 822, 1274, 791, 1062, 1170, 507, 6273, 16197, 6360, 16751, 2195, 1558, 25418, 754, 13303, 1574, 701, 7445, 6121, 1316, 15700, 5103, 19369, 806, 30141, 3067, 2554, 1139, 23322, 45927, 13800, 4122, 31046, 6145, 12461, 18324, 15995, 38622, 1647, 232, 1359, 779, 11662, 17402, 26667, 39577, 24710, 6548, 453, 7097, 12844, 26562, 49003, 3353, 23838, 3530, 12254, 23449, 8152, 3288, 7308, 912, 7562, 814, 34572, 59091, 9094, 8464, 3749, 944, 7458, 149, 982, 13636, 4880, 3534, 5816, 954, 12267, 14068, 4276, 5618, 696, 1522, 35668, 1176, 585, 19380, 558, 7393, 814, 1822, 529, 442, 441, 1019, 1316, 0, 358, 2746, 943, 748, 6092, 515, 1287, 984, 973, 1169, 2227, 319, 1522, 627, 1602, 874, 942, 1686, 4332, 1602, 1381, 2730, 24598, 452, 2740, 7615, 758, 32209, 69864, 448, 438, 791, 332, 676, 3898, 2677, 1031, 324, 1026, 313, 755, 942, 1157, 1126, 1522, 289, 17955, 1288, 254, 513, 678, 1987, 3426, 671, 1602, 376, 477, 5539, 807, 995, 414, 10553, 71953, 2810, 4589, 1488, 584, 878, 211, 1167, 1039, 924, 8719, 640, 363, 397, 899, 568, 851, 18923, 1395, 446, 762, 1018, 979, 1490, 868, 894, 7094, 2548, 794, 227, 39484, 4836, 1429, 4993, 598, 275, 1303, 1278, 357, 743, 637, 635, 3022, 546, 748, 751, 2872, 24463, 35638 
流星, 57304, 2115, 21284, 4648, 261, 1021, 424, 3729, 3064, 582, 15633, 18608, 32635, 326, 8404, 3726, 32904, 1902, 696, 14678, 27130, 26914, 565, 2652, 24429, 14629, 10277, 71198, 5576, 19409, 5202, 63230, 54308, 3060, 7997, 7427, 16389, 8562, 632, 48988, 5201, 29707, 38007, 24113, 19615, 22987, 3159, 561, 1842, 25114, 518, 37784, 39463, 11046, 1836, 15625, 1472, 40843, 24400, 28325, 4531, 728, 1766, 10694, 597, 1017, 274, 616, 1906, 937, 634, 1624, 533, 7531, 18309, 7592, 19003, 2731, 1014, 27864, 734, 15095, 1776, 541, 9203, 7069, 1660, 17892, 5913, 21317, 1120, 34249, 3949, 2956, 1365, 25542, 48903, 15242, 4946, 34626, 7153, 14029, 20434, 18061, 41704, 1909, 188, 1739, 951, 13192, 19296, 29543, 42735, 27116, 7444, 215, 8257, 14692, 29412, 52343, 4349, 26222, 4132, 13440, 25673, 9080, 3966, 8102, 514, 8572, 476, 37730, 63013, 11304, 9828, 4447, 1310, 8834, 425, 846, 15420, 5730, 4560, 7414, 1744, 13737, 16412, 4634, 6774, 982, 966, 39552, 1942, 223, 22384, 266, 9283, 462, 2104, 251, 258, 295, 615, 1872, 358, 0, 2904, 497, 414, 7264, 317, 753, 560, 487, 755, 2425, 221, 966, 307, 1032, 486, 734, 2408, 5184, 1064, 1925, 3442, 27136, 472, 3592, 9223, 530, 36133, 73722, 290, 542, 607, 246, 274, 4874, 3323, 571, 150, 582, 221, 325, 526, 673, 582, 966, 239, 20173, 750, 418, 265, 794, 2511, 3654, 247, 1032, 526, 417, 6405, 721, 561, 570, 11861, 75523, 3484, 5327, 914, 468, 1048, 107, 1547, 621, 538, 10599, 438, 509, 597, 533, 280, 519, 20633, 869, 304, 472, 590, 743, 1672, 544, 1144, 8090, 3100, 408, 457, 42542, 5622, 1937, 6321, 388, 375, 781, 824, 579, 655, 801, 353, 3584, 250, 400, 445, 2896, 26991, 38136 
#2601, 51628, 3735, 14588, 3888, 2405, 5629, 3424, 4141, 3012, 1458, 13357, 14524, 26223, 2194, 7444, 4470, 28112, 2658, 1152, 13994, 17894, 22186, 2589, 4336, 21861, 12045, 5557, 62138, 3360, 16369, 6494, 56326, 49660, 4904, 6221, 6439, 14397, 6390, 3144, 40732, 5545, 25619, 29391, 20633, 13719, 15783, 4823, 4849, 4058, 22018, 3858, 32984, 28035, 10802, 2232, 13813, 3728, 36387, 21136, 23645, 5779, 4712, 3894, 9506, 2761, 3497, 3894, 1352, 2646, 3817, 4454, 3800, 4133, 7943, 14421, 7332, 16491, 1963, 5526, 23584, 4574, 13239, 2872, 3709, 8431, 2469, 1912, 13596, 6569, 18561, 2428, 30229, 3645, 4032, 3829, 22718, 43523, 10714, 5434, 30322, 4809, 12957, 18602, 11845, 34684, 4073, 2588, 1931, 1531, 11568, 15712, 24755, 36575, 24028, 7124, 3935, 6057, 11784, 22968, 47055, 3953, 22574, 3400, 12952, 20345, 9276, 5030, 7154, 4130, 6424, 3972, 32370, 57281, 8932, 5048, 4915, 3598, 8738, 2621, 882, 14424, 5650, 4816, 5314, 2416, 12373, 11208, 3606, 7798, 2786, 5202, 32944, 3942, 3683, 19332, 3290, 8759, 4386, 456, 3159, 2406, 2639, 4807, 2948, 2746, 2904, 0, 4641, 2826, 4808, 3709, 4709, 4808, 4647, 4951, 2289, 2373, 5202, 4143, 5408, 3042, 4766, 4952, 4384, 5624, 2293, 4766, 21656, 2764, 2428, 7075, 4402, 31981, 66654, 3690, 3998, 4447, 2930, 2886, 5022, 3259, 4555, 3050, 3698, 1905, 3973, 3362, 4993, 5022, 5202, 3567, 18313, 4914, 2386, 3545, 2514, 4239, 50, 3535, 5408, 3366, 1493, 6825, 3473, 3445, 2762, 6445, 69487, 4876, 5527, 5426, 3748, 1720, 2579, 3071, 4761, 4298, 7227, 3402, 3173, 3373, 4393, 3432, 4567, 19225, 5213, 2920, 2048, 4074, 3927, 352, 4116, 2204, 5698, 3624, 4300, 2361, 38982, 3458, 3381, 6729, 3844, 3407, 5013, 5096, 3023, 3871, 2073, 3857, 3384, 2102, 4104, 3837, 5064, 23547, 34896 
365日, 65337, 2844, 26585, 7451, 590, 218, 1273, 6134, 4885, 1023, 20014, 23065, 37820, 1447, 12253, 5839, 37551, 3705, 1281, 19287, 32987, 32367, 1012, 4741, 29110, 17666, 14158, 79395, 8057, 24668, 7753, 70269, 60409, 5073, 10578, 10108, 20784, 11611, 1585, 56793, 7588, 35156, 44274, 28390, 24674, 28576, 4132, 38, 3387, 30073, 223, 43185, 46768, 14861, 3141, 19942, 2077, 45804, 28657, 32896, 5858, 321, 3153, 14497, 1206, 1646, 255, 1105, 3283, 1346, 175, 2599, 272, 9672, 22702, 10351, 22448, 4724, 255, 33431, 423, 18602, 2941, 758, 11860, 10118, 3333, 22785, 7928, 26314, 2617, 38748, 6034, 4361, 2918, 29927, 55652, 20051, 7335, 39283, 10082, 16936, 24271, 22142, 48571, 3522, 637, 3432, 2340, 16097, 22985, 34004, 49616, 31507, 10837, 254, 11768, 17791, 35781, 57832, 6486, 30627, 6889, 16851, 31468, 12175, 5365, 11179, 489, 11507, 201, 44373, 68890, 13683, 13441, 6126, 2277, 11017, 1128, 1575, 18283, 8165, 6323, 10431, 2881, 18326, 20957, 6719, 7967, 2113, 255, 45033, 2631, 144, 26251, 123, 11726, 33, 3745, 344, 467, 548, 46, 3231, 943, 497, 4641, 0, 375, 10473, 120, 218, 67, 6, 168, 4706, 842, 255, 40, 273, 351, 295, 2521, 8129, 273, 3714, 5085, 32073, 969, 5771, 12256, 131, 40770, 82699, 183, 357, 296, 435, 239, 7109, 5340, 168, 839, 255, 894, 202, 295, 82, 231, 255, 686, 24102, 207, 1349, 186, 1515, 3708, 5631, 228, 273, 1175, 1030, 8500, 2018, 298, 1331, 16246, 84166, 4725, 8318, 175, 577, 2649, 520, 3038, 158, 69, 14548, 303, 1268, 1042, 126, 277, 26, 24974, 190, 369, 673, 199, 996, 3265, 185, 2097, 11771, 5187, 205, 1182, 47221, 8815, 3270, 8172, 125, 422, 198, 225, 1036, 750, 2256, 118, 6217, 643, 197, 226, 4933, 31420, 44245 
All by myself, 64426, 3087, 24782, 6786, 299, 499, 1318, 5467, 4368, 234, 19489, 22282, 36945, 958, 11260, 5778, 37154, 3162, 378, 18386, 30134, 31426, 819, 4474, 28935, 17511, 12139, 78524, 7026, 23785, 7988, 70216, 61144, 4742, 9887, 9685, 20391, 10920, 1350, 54898, 7273, 34781, 42645, 28319, 22935, 26259, 4589, 439, 3374, 29962, 138, 42722, 43287, 14528, 2358, 19441, 2042, 46197, 28306, 32471, 6265, 446, 3372, 13934, 895, 1799, 228, 278, 3036, 1711, 212, 2846, 443, 10085, 21729, 10206, 22425, 3673, 468, 32722, 524, 18597, 2698, 955, 11755, 8025, 2512, 21216, 8171, 25815, 2182, 38473, 5661, 4008, 2863, 29894, 55589, 18328, 7276, 39250, 8703, 17223, 24542, 20749, 47416, 3623, 326, 2603, 1561, 16254, 22690, 33737, 48605, 31534, 10178, 389, 10935, 17580, 33948, 58227, 6077, 30374, 5950, 17032, 30287, 12258, 5672, 10664, 1016, 10870, 168, 43212, 69521, 13204, 11522, 6247, 2500, 11204, 971, 558, 18696, 8050, 6262, 9310, 2506, 17443, 19386, 6162, 8638, 2072, 378, 44146, 2796, 233, 25980, 152, 11771, 264, 2334, 447, 96, 305, 325, 3050, 748, 414, 2826, 375, 0, 9392, 169, 257, 326, 381, 331, 4053, 615, 378, 315, 434, 18, 428, 2846, 7348, 494, 3037, 5156, 31298, 634, 4924, 11707, 352, 40699, 81996, 288, 524, 397, 314, 66, 6930, 4957, 235, 758, 74, 459, 169, 38, 367, 396, 378, 885, 24313, 306, 1120, 215, 1542, 3933, 3626, 109, 434, 1230, 377, 8781, 1955, 49, 1304, 14053, 84295, 5002, 7795, 434, 664, 2038, 293, 2873, 285, 200, 13215, 126, 1367, 1141, 217, 144, 373, 25327, 377, 154, 74, 138, 1317, 1930, 168, 1544, 10312, 4824, 262, 1029, 48078, 7370, 3321, 8313, 178, 497, 327, 398, 1121, 1261, 1845, 191, 5274, 110, 216, 177, 5046, 31335, 44436 
Another Mind, 27296, 4543, 4726, 634, 7061, 13023, 5528, 2347, 1498, 7724, 3495, 4690, 11055, 5596, 2130, 1794, 12244, 2526, 7256, 5264, 7996, 8804, 5897, 2864, 8561, 3981, 1191, 36788, 880, 4815, 2098, 33308, 28558, 3610, 1917, 777, 3889, 982, 5588, 19832, 1393, 10911, 13633, 8213, 3807, 5757, 3973, 10783, 4042, 7836, 10182, 14388, 14665, 2874, 3986, 3055, 4996, 19309, 9128, 8867, 3837, 10924, 3002, 2014, 5717, 4839, 9568, 7564, 2394, 5991, 11188, 4350, 9133, 2773, 4105, 1846, 6037, 2571, 12926, 8292, 9816, 4495, 4086, 7197, 2133, 2345, 3282, 3682, 2515, 6531, 3736, 13615, 1871, 3596, 4017, 9262, 23455, 2882, 1254, 14338, 2309, 4495, 7364, 4521, 16164, 3099, 6958, 3143, 4089, 4224, 6108, 10785, 17271, 10580, 1774, 8617, 583, 5052, 8724, 26667, 969, 9982, 1358, 4250, 7303, 2430, 2916, 2364, 7664, 1804, 10136, 14606, 35241, 4604, 1450, 2901, 4278, 3428, 5211, 6824, 5790, 1754, 1772, 1650, 3124, 3353, 2510, 2022, 5270, 3690, 12764, 15154, 4628, 8859, 6640, 8912, 2461, 10334, 3812, 7667, 7890, 7549, 11191, 2474, 6092, 7264, 4808, 10473, 9392, 0, 9199, 12023, 11182, 10441, 11827, 1843, 5891, 12764, 9435, 13024, 9956, 11086, 7924, 742, 13132, 2261, 2534, 9180, 6690, 828, 1459, 10214, 14963, 39120, 8876, 8674, 10335, 7310, 8886, 1710, 1281, 11223, 6376, 10828, 5959, 10193, 10384, 11517, 11630, 12764, 6781, 6393, 12104, 4686, 8661, 4540, 3033, 4588, 9705, 13024, 5680, 6401, 2021, 4913, 10575, 4862, 1847, 42273, 3384, 1777, 12596, 7802, 4004, 6925, 2703, 11343, 10828, 875, 9668, 5309, 5947, 10867, 9080, 10405, 7181, 12371, 8516, 8584, 10988, 6933, 4016, 10706, 5230, 1810, 1688, 10222, 4933, 22296, 1476, 3201, 3595, 9572, 7593, 12153, 11956, 5471, 6801, 3439, 9431, 2104, 8056, 10004, 9869, 3138, 9205, 16796 
Another Story, 62755, 2522, 24665, 6461, 294, 378, 973, 5194, 3969, 631, 18664, 21635, 35896, 987, 11021, 5197, 35685, 2963, 829, 17839, 30541, 30575, 632, 4073, 27586, 16556, 12352, 76805, 6877, 23036, 7167, 68187, 58947, 4369, 9368, 8998, 19464, 10367, 1173, 53941, 6628, 33526, 42016, 27076, 22676, 26402, 3830, 198, 2785, 28637, 105, 40961, 43836, 13725, 2329, 18506, 1549, 44378, 27089, 31166, 5316, 217, 2729, 13317, 722, 1296, 155, 693, 2647, 1134, 171, 2265, 164, 8976, 21040, 9385, 21168, 3822, 361, 31555, 265, 17544, 2419, 606, 10852, 8610, 2597, 20875, 7274, 24778, 1977, 36756, 5302, 3599, 2438, 28385, 53878, 18363, 6551, 37595, 8842, 16008, 23161, 20544, 46293, 3040, 303, 2684, 1704, 15241, 21721, 32406, 47346, 30007, 9731, 158, 10582, 16807, 33487, 56098, 5562, 29081, 5905, 15869, 29630, 11293, 4925, 10137, 577, 10445, 129, 42093, 67206, 12581, 11799, 5524, 1935, 10203, 718, 1063, 17397, 7391, 5565, 8977, 2205, 16816, 19091, 6011, 7649, 1671, 343, 42749, 2201, 92, 24631, 63, 10656, 63, 2901, 238, 195, 272, 130, 2643, 515, 317, 3709, 120, 169, 9199, 0, 254, 139, 130, 194, 3974, 530, 343, 66, 381, 199, 209, 2317, 7073, 385, 2880, 4419, 30405, 543, 4817, 11146, 117, 38906, 80065, 89, 221, 186, 155, 127, 6277, 4578, 172, 581, 183, 520, 130, 183, 170, 271, 343, 530, 22904, 259, 925, 50, 1229, 3284, 4599, 120, 381, 865, 594, 7890, 1646, 198, 983, 14500, 82002, 4249, 7398, 305, 377, 2061, 222, 2500, 166, 97, 12976, 109, 992, 692, 122, 129, 114, 23942, 282, 125, 381, 151, 890, 2461, 107, 1515, 10411, 4415, 157, 812, 46073, 7587, 2828, 7536, 37, 210, 258, 277, 734, 766, 1718, 42, 5261, 339, 129, 130, 4481, 29904, 42701 
